-START-OF-DATA-	
0	7.218941000E-07
1765.5	7.218941100E-07
1766.5	7.222557000E-07
1767.5	7.229708200E-07
1768.5	7.236679200E-07
1769.5	7.243431300E-07
1770.5	7.249952600E-07
1771.5	7.256288500E-07
1772.5	7.262495600E-07
1773.5	7.268586300E-07
1774.5	7.274548400E-07
1775.5	7.280369900E-07
1776.5	7.286038700E-07
1777.5	7.291542900E-07
1778.5	7.296870300E-07
1779.5	7.302009000E-07
1780.5	7.306922000E-07
1781.5	7.311541000E-07
1782.5	7.315842500E-07
1783.5	7.319888800E-07
1784.5	7.323775800E-07
1785.5	7.327599500E-07
1786.5	7.331455900E-07
1787.5	7.335441000E-07
1788.5	7.339650800E-07
1789.5	7.344181100E-07
1790.5	7.349109400E-07
1791.5	7.354454200E-07
1792.5	7.360182400E-07
1793.5	7.366256600E-07
1794.5	7.372647800E-07
1795.5	7.379327100E-07
1796.5	7.386265300E-07
1797.5	7.393433600E-07
1798.5	7.400802800E-07
1799.5	7.408344200E-07
1800.5	7.416080900E-07
1801.5	7.424132800E-07
1802.5	7.432599500E-07
1803.5	7.441459400E-07
1804.5	7.450634600E-07
1805.5	7.460047200E-07
1806.5	7.469619200E-07
1807.5	7.479272600E-07
1808.5	7.488929600E-07
1809.5	7.498512200E-07
1810.5	7.507981700E-07
1811.5	7.517389500E-07
1812.5	7.526815600E-07
1813.5	7.536284300E-07
1814.5	7.545786600E-07
1815.5	7.555313300E-07
1816.5	7.564855200E-07
1817.5	7.574403200E-07
1818.5	7.583948200E-07
1819.5	7.593480900E-07
1820.5	7.602995400E-07
1821.5	7.612493800E-07
1822.5	7.621983100E-07
1823.5	7.631468400E-07
1824.5	7.640952800E-07
1825.5	7.650439100E-07
1826.5	7.659930400E-07
1827.5	7.669429600E-07
1828.5	7.678939800E-07
1829.5	7.688463900E-07
1830.5	7.697984400E-07
1831.5	7.707450400E-07
1832.5	7.716831300E-07
1833.5	7.726153800E-07
1834.5	7.735469300E-07
1835.5	7.744829000E-07
1836.5	7.754284300E-07
1837.5	7.763886600E-07
1838.5	7.773687100E-07
1839.5	7.783737100E-07
1840.5	7.794118000E-07
1841.5	7.804940600E-07
1842.5	7.816240300E-07
1843.5	7.827932200E-07
1844.5	7.839886300E-07
1845.5	7.851972600E-07
1846.5	7.864061100E-07
1847.5	7.876021900E-07
1848.5	7.887725000E-07
1849.5	7.899040400E-07
1850.5	7.909792400E-07
