-START-OF-DATA-	
0	2.780000000E-04
1765.5	2.780515800E-04
1766.5	2.781061500E-04
1767.5	2.782203900E-04
1768.5	2.783430500E-04
1769.5	2.784705800E-04
1770.5	2.786004700E-04
1771.5	2.787327500E-04
1772.5	2.788688100E-04
1773.5	2.790090700E-04
1774.5	2.791531800E-04
1775.5	2.793018000E-04
1776.5	2.794568000E-04
1777.5	2.796180800E-04
1778.5	2.797819200E-04
1779.5	2.799432000E-04
1780.5	2.800974000E-04
1781.5	2.802428000E-04
1782.5	2.803816800E-04
1783.5	2.805183200E-04
1784.5	2.806572000E-04
1785.5	2.808026000E-04
1786.5	2.809568000E-04
1787.5	2.811180800E-04
1788.5	2.812819200E-04
1789.5	2.814432000E-04
1790.5	2.815982000E-04
1791.5	2.817468200E-04
1792.5	2.818909300E-04
1793.5	2.820311900E-04
1794.5	2.821672500E-04
1795.5	2.822990100E-04
1796.5	2.824268000E-04
1797.5	2.825509300E-04
1798.5	2.826712300E-04
1799.5	2.827873000E-04
1800.5	2.828990100E-04
1801.5	2.830067700E-04
1802.5	2.831109300E-04
1803.5	2.832112900E-04
1804.5	2.833073700E-04
1805.5	2.833996300E-04
1806.5	2.834897800E-04
1807.5	2.835779600E-04
1808.5	2.836611600E-04
1809.5	2.837351100E-04
1810.5	2.837967600E-04
1811.5	2.838466700E-04
1812.5	2.838885300E-04
1813.5	2.839261300E-04
1814.5	2.839626700E-04
1815.5	2.840010700E-04
1816.5	2.840426700E-04
1817.5	2.840861300E-04
1818.5	2.841285300E-04
1819.5	2.841666700E-04
1820.5	2.841982000E-04
1821.5	2.842233300E-04
1822.5	2.842442700E-04
1823.5	2.842630700E-04
1824.5	2.842813300E-04
1825.5	2.843002700E-04
1826.5	2.843200000E-04
1827.5	2.843400000E-04
1828.5	2.843600000E-04
1829.5	2.843800000E-04
1830.5	2.844000000E-04
1831.5	2.843850000E-04
1832.5	2.842800000E-04
1833.5	2.841250000E-04
1834.5	2.839750000E-04
1835.5	2.838250000E-04
1836.5	2.836750000E-04
1837.5	2.835250000E-04
1838.5	2.834250000E-04
1839.5	2.834000000E-04
1840.5	2.834000000E-04
1841.5	2.834250000E-04
1842.5	2.835000000E-04
1843.5	2.836000000E-04
1844.5	2.837250000E-04
1845.5	2.839000000E-04
1846.5	2.840750000E-04
1847.5	2.842250000E-04
1848.5	2.844000000E-04
1849.5	2.845750000E-04
1850.5	2.847250000E-04
1851.5	2.848750000E-04
1852.5	2.850000000E-04
1853.5	2.851250000E-04
1854.5	2.852750000E-04
1855.5	2.854250000E-04
1856.5	2.855750000E-04
1857.5	2.857250000E-04
1858.5	2.859000000E-04
1859.5	2.860750000E-04
1860.5	2.862250000E-04
1861.5	2.863750000E-04
1862.5	2.865000000E-04
1863.5	2.866250000E-04
1864.5	2.867750000E-04
1865.5	2.869000000E-04
1866.5	2.870000000E-04
1867.5	2.871000000E-04
1868.5	2.872250000E-04
1869.5	2.873750000E-04
1870.5	2.875250000E-04
1871.5	2.877000000E-04
1872.5	2.879000000E-04
1873.5	2.881250000E-04
1874.5	2.884000000E-04
1875.5	2.887000000E-04
1876.5	2.890250000E-04
1877.5	2.894000000E-04
1878.5	2.898000000E-04
1879.5	2.902250000E-04
1880.5	2.907000000E-04
1881.5	2.912000000E-04
1882.5	2.916750000E-04
1883.5	2.921250000E-04
1884.5	2.925750000E-04
1885.5	2.929750000E-04
1886.5	2.933000000E-04
1887.5	2.935750000E-04
1888.5	2.938000000E-04
1889.5	2.940000000E-04
1890.5	2.941750000E-04
1891.5	2.943250000E-04
1892.5	2.944750000E-04
1893.5	2.946000000E-04
1894.5	2.947000000E-04
1895.5	2.948000000E-04
1896.5	2.949000000E-04
1897.5	2.950250000E-04
1898.5	2.952250000E-04
1899.5	2.955000000E-04
1900.5	2.958000000E-04
1901.5	2.961250000E-04
1902.5	2.964750000E-04
1903.5	2.968250000E-04
1904.5	2.972000000E-04
1905.5	2.976250000E-04
1906.5	2.980750000E-04
1907.5	2.985000000E-04
1908.5	2.989000000E-04
1909.5	2.993000000E-04
1910.5	2.997000000E-04
1911.5	3.000750000E-04
1912.5	3.004250000E-04
1913.5	3.007750000E-04
1914.5	3.011000000E-04
1915.5	3.014000000E-04
1916.5	3.017250000E-04
1917.5	3.020750000E-04
1918.5	3.024000000E-04
1919.5	3.027000000E-04
1920.5	3.030250000E-04
1921.5	3.034000000E-04
1922.5	3.037750000E-04
1923.5	3.041250000E-04
1924.5	3.045250000E-04
1925.5	3.049750000E-04
