-START-OF-DATA-	
0	2.729596000E-07
1765.5	2.729596100E-07
1766.5	2.729712100E-07
1767.5	2.729941900E-07
1768.5	2.730167800E-07
1769.5	2.730390300E-07
1770.5	2.730609600E-07
1771.5	2.730825700E-07
1772.5	2.731038600E-07
1773.5	2.731248600E-07
1774.5	2.731456300E-07
1775.5	2.731662100E-07
1776.5	2.731866000E-07
1777.5	2.732067700E-07
1778.5	2.732267600E-07
1779.5	2.732466500E-07
1780.5	2.732664600E-07
1781.5	2.732862000E-07
1782.5	2.733058500E-07
1783.5	2.733254300E-07
1784.5	2.733450000E-07
1785.5	2.733646300E-07
1786.5	2.733843200E-07
1787.5	2.734040200E-07
1788.5	2.734237800E-07
1789.5	2.734436300E-07
1790.5	2.734636500E-07
1791.5	2.734838200E-07
1792.5	2.735041200E-07
1793.5	2.735245700E-07
1794.5	2.735452300E-07
1795.5	2.735661500E-07
1796.5	2.735873300E-07
1797.5	2.736087600E-07
1798.5	2.736304600E-07
1799.5	2.736524700E-07
1800.5	2.736748500E-07
1801.5	2.736976200E-07
1802.5	2.737207600E-07
1803.5	2.737442900E-07
1804.5	2.737682500E-07
1805.5	2.737926700E-07
1806.5	2.738175800E-07
1807.5	2.738429700E-07
1808.5	2.738688700E-07
1809.5	2.738952900E-07
1810.5	2.739222600E-07
1811.5	2.739498100E-07
1812.5	2.739779400E-07
1813.5	2.740066800E-07
1814.5	2.740360500E-07
1815.5	2.740660600E-07
1816.5	2.740967500E-07
1817.5	2.741281300E-07
1818.5	2.741602400E-07
1819.5	2.741930600E-07
1820.5	2.742266100E-07
1821.5	2.742609000E-07
1822.5	2.742959600E-07
1823.5	2.743318300E-07
1824.5	2.743685000E-07
1825.5	2.744059800E-07
1826.5	2.744443000E-07
1827.5	2.744835100E-07
1828.5	2.745236100E-07
1829.5	2.745646100E-07
1830.5	2.746065000E-07
1831.5	2.746492900E-07
1832.5	2.746930500E-07
1833.5	2.747377900E-07
1834.5	2.747835100E-07
1835.5	2.748302200E-07
1836.5	2.748779300E-07
1837.5	2.749266900E-07
1838.5	2.749765500E-07
1839.5	2.750274800E-07
1840.5	2.750796600E-07
1841.5	2.751364200E-07
1842.5	2.752022000E-07
1843.5	2.752731300E-07
1844.5	2.753371000E-07
1845.5	2.753804500E-07
1846.5	2.753984000E-07
1847.5	2.754013000E-07
1848.5	2.754007900E-07
1849.5	2.754003200E-07
1850.5	2.754250600E-07
1851.5	2.755000000E-07
1852.5	2.756000000E-07
